================================================================================
NOTE: Only showing models that have scores from all judges
================================================================================
MT-Bench Summary: Average Scores by Category and Judge
Category           GPT-4-Turbo    GPT-4o    GPT-4.1    GPT-5.1
---------------  -------------  --------  ---------  ---------
Overall Average           8.24      8.3        8          6.38
coding                    7.53      8.17       7.56       6.37
extraction                9.1       8.83       8.21       7.04
humanities                9.27      8.75       8.57       6.04
math                      6.69      7.79       8.39       7.8
reasoning                 6.62      7.07       6.6        5.82
roleplay                  8.76      8.59       8.33       6.05
stem                      8.88      8.57       8.13       5.82
writing                   9.06      8.63       8.22       6.06

================================================================================
MT-Bench Scores by Category and Judge (All Models)
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.24           8.30        8.00        6.38
Overall (Turn 1)      8.36           8.69        8.34        7.04
Overall (Turn 2)      8.12           7.91        7.67        5.71
--------------------  ----------     ----------  ----------  ----------
coding (Average)      7.53           8.17        7.56        6.37
extraction (Average)  9.10           8.83        8.21        7.04
humanities (Average)  9.27           8.75        8.57        6.04
math (Average)        6.69           7.79        8.39        7.80
reasoning (Average)   6.62           7.07        6.60        5.82
roleplay (Average)    8.76           8.59        8.33        6.05
stem (Average)        8.88           8.57        8.13        5.82
writing (Average)     9.06           8.63        8.22        6.06
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                7.66           8.61        7.92        6.83
extraction            9.00           9.12        8.38        7.68
humanities            9.00           8.75        8.43        6.60
math                  7.61           8.66        9.14        8.77
reasoning             6.94           7.59        6.89        6.25
roleplay              8.72           8.75        8.60        6.68
stem                  8.93           9.02        8.41        6.82
writing               9.02           8.98        8.94        6.71
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                7.41           7.73        7.19        5.91
extraction            9.20           8.54        8.04        6.39
humanities            9.54           8.76        8.72        5.48
math                  5.77           6.92        7.64        6.84
reasoning             6.31           6.55        6.32        5.39
roleplay              8.79           8.42        8.06        5.42
stem                  8.84           8.13        7.85        4.82
writing               9.09           8.27        7.51        5.42

================================================================================
meta-llama/Llama-3.1-405B-Instruct
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.91           8.25        7.97        6.52
Overall (Turn 1)      9.03           8.65        8.32        7.12
Overall (Turn 2)      8.78           7.85        7.61        5.91
--------------------  ----------     ----------  ----------  ----------
coding (Average)      8.00           7.75        7.60        6.65
extraction (Average)  9.90           9.60        9.65        7.90
humanities (Average)  9.60           8.70        8.15        5.20
math (Average)        8.00           7.80        8.60        8.15
reasoning (Average)   7.80           7.55        7.45        7.35
roleplay (Average)    9.25           8.60        8.00        6.00
stem (Average)        9.40           8.25        7.45        5.70
writing (Average)     9.33           7.75        6.85        5.20
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                7.40           7.90        7.40        6.80
extraction            9.80           9.60        9.80        8.40
humanities            9.30           8.90        8.30        5.90
math                  8.80           8.60        8.90        9.10
reasoning             9.60           8.70        8.80        8.50
roleplay              9.40           9.00        8.20        6.50
stem                  9.00           8.40        7.80        6.30
writing               8.89           8.10        7.40        5.50
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                8.60           7.60        7.80        6.50
extraction            10.00          9.60        9.50        7.40
humanities            9.90           8.50        8.00        4.50
math                  7.20           7.00        8.30        7.20
reasoning             6.00           6.40        6.10        6.20
roleplay              9.10           8.20        7.80        5.50
stem                  9.80           8.10        7.10        5.10
writing               9.78           7.40        6.30        4.90

================================================================================
meta-llama/Llama-3.3-70B-Instruct
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       8.59           7.92        7.56        6.21
Overall (Turn 1)      8.57           8.29        7.72        6.70
Overall (Turn 2)      8.60           7.56        7.39        5.72
--------------------  ----------     ----------  ----------  ----------
coding (Average)      7.65           7.70        7.45        6.55
extraction (Average)  9.50           9.00        8.70        7.40
humanities (Average)  9.40           8.55        7.70        5.25
math (Average)        7.15           6.90        7.55        7.40
reasoning (Average)   7.65           7.00        6.60        7.05
roleplay (Average)    9.30           8.55        8.00        6.00
stem (Average)        9.60           8.00        7.45        5.00
writing (Average)     8.45           7.70        7.00        5.05
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                6.40           7.50        6.80        6.40
extraction            9.30           9.50        8.90        7.90
humanities            9.00           8.30        7.50        5.80
math                  8.50           7.90        8.20        8.20
reasoning             7.70           7.10        6.60        7.50
roleplay              8.90           8.50        8.00        6.20
stem                  9.50           8.60        7.80        5.90
writing               9.30           8.90        8.00        5.70
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                8.90           7.90        8.10        6.70
extraction            9.70           8.50        8.50        6.90
humanities            9.80           8.80        7.90        4.70
math                  5.80           5.90        6.90        6.60
reasoning             7.60           6.90        6.60        6.60
roleplay              9.70           8.60        8.00        5.80
stem                  9.70           7.40        7.10        4.10
writing               7.60           6.50        6.00        4.40

================================================================================
shisa-ai/shisa-v2-llama3.1-405b
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       9.43           8.92        9.13        7.66
Overall (Turn 1)      9.54           9.38        9.49        8.21
Overall (Turn 2)      9.32           8.46        8.78        7.10
--------------------  ----------     ----------  ----------  ----------
coding (Average)      9.75           8.90        9.10        7.58
extraction (Average)  10.00          9.45        9.65        8.43
humanities (Average)  9.80           9.05        9.35        7.10
math (Average)        8.35           8.55        8.90        8.95
reasoning (Average)   8.15           8.25        8.15        7.80
roleplay (Average)    9.75           9.10        9.55        7.72
stem (Average)        9.85           8.90        9.10        6.65
writing (Average)     9.80           9.15        9.25        7.03
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                9.60           9.40        9.40        7.95
extraction            10.00          9.70        9.80        8.60
humanities            9.60           9.10        9.20        7.25
math                  9.10           10.00       10.00       10.00
reasoning             8.80           8.90        8.60        8.30
roleplay              9.70           9.20        9.80        8.40
stem                  9.80           9.40        9.50        7.80
writing               9.70           9.30        9.60        7.40
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                9.90           8.40        8.80        7.20
extraction            10.00          9.20        9.50        8.25
humanities            10.00          9.00        9.50        6.95
math                  7.60           7.10        7.80        7.90
reasoning             7.50           7.60        7.70        7.30
roleplay              9.80           9.00        9.30        7.05
stem                  9.90           8.40        8.70        5.50
writing               9.90           9.00        8.90        6.65

================================================================================
shisa-ai/shisa-v2-llama3.1-8b
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       7.97           7.41        6.99        5.44
Overall (Turn 1)      7.89           7.64        7.41        6.00
Overall (Turn 2)      8.06           7.17        6.58        4.89
--------------------  ----------     ----------  ----------  ----------
coding (Average)      6.10           6.30        5.30        5.05
extraction (Average)  8.40           7.40        6.95        6.15
humanities (Average)  9.20           8.70        8.40        5.75
math (Average)        6.30           6.05        6.55        5.60
reasoning (Average)   6.60           6.30        5.95        5.45
roleplay (Average)    9.20           8.40        7.65        4.95
stem (Average)        8.55           7.75        7.25        4.95
writing (Average)     9.45           8.35        7.90        5.65
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                6.50           7.10        6.40        6.10
extraction            8.00           7.50        6.90        6.40
humanities            8.40           8.40        8.00        5.90
math                  6.70           6.00        7.40        6.30
reasoning             6.90           6.50        6.30        5.90
roleplay              9.20           8.50        7.70        5.50
stem                  8.30           8.00        7.60        5.60
writing               9.10           9.10        9.00        6.30
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                5.70           5.50        4.20        4.00
extraction            8.80           7.30        7.00        5.90
humanities            10.00          9.00        8.80        5.60
math                  5.90           6.10        5.70        4.90
reasoning             6.30           6.10        5.60        5.00
roleplay              9.20           8.30        7.60        4.40
stem                  8.80           7.50        6.90        4.30
writing               9.80           7.60        6.80        5.00

================================================================================
shisa-ai/shisa-v2-llama3.3-70b
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-5.1
--------------------  -------------  ----------  ----------  ----------
Overall Average       9.07           8.44        8.41        6.82
Overall (Turn 1)      9.20           9.07        8.96        7.54
Overall (Turn 2)      8.94           7.81        7.85        6.10
--------------------  ----------     ----------  ----------  ----------
coding (Average)      9.55           8.70        8.25        7.35
extraction (Average)  9.95           9.55        9.70        8.40
humanities (Average)  9.95           9.05        9.05        6.50
math (Average)        6.35           7.50        8.30        7.55
reasoning (Average)   7.40           6.75        6.25        5.60
roleplay (Average)    9.90           8.95        9.05        6.85
stem (Average)        9.80           8.90        8.70        6.20
writing (Average)     9.65           8.15        7.95        6.10
