================================================================================
MT-Bench Summary: Average Scores by Category and Judge
Category           GPT-4-Turbo    GPT-4o    GPT-4.1    GPT-4.1-mini
---------------  -------------  --------  ---------  --------------
Overall Average           7.04      8.44       8.41            8.43
coding                    5.93      8.7        8.25            8.45
extraction                8.31      9.55       9.7             9.25
humanities                8.88      9.05       9.05            9.2
math                      4.73      7.5        8.3             8.6
reasoning                 4.85      6.75       6.25            6.45
roleplay                  7.69      8.95       9.05            8.95
stem                      7.77      8.9        8.7             8.55
writing                   8.19      8.15       7.95            7.95

================================================================================
MT-Bench Scores by Category and Judge
Category              GPT-4-Turbo    GPT-4o      GPT-4.1     GPT-4.1-mini
--------------------  -------------  ----------  ----------  --------------
Overall Average       7.04           8.44        8.41        8.43
Overall (Turn 1)      7.19           9.07        8.96        8.89
Overall (Turn 2)      6.90           7.81        7.85        7.96
--------------------  ----------     ----------  ----------  ----------
coding (Average)      5.93           8.70        8.25        8.45
extraction (Average)  8.31           9.55        9.70        9.25
humanities (Average)  8.88           9.05        9.05        9.20
math (Average)        4.73           7.50        8.30        8.60
reasoning (Average)   4.85           6.75        6.25        6.45
roleplay (Average)    7.69           8.95        9.05        8.95
stem (Average)        7.77           8.90        8.70        8.55
writing (Average)     8.19           8.15        7.95        7.95
--- Turn 1 ---        ----------     ----------  ----------  ----------
coding                6.29           9.40        8.30        8.40
extraction            8.16           9.80        9.90        9.20
humanities            8.61           9.10        9.00        9.40
math                  5.42           9.30        9.20        9.80
reasoning             4.90           7.20        6.90        7.10
roleplay              7.86           9.10        9.20        9.10
stem                  7.94           9.50        9.50        8.90
writing               8.33           9.20        9.70        9.20
--- Turn 2 ---        ----------     ----------  ----------  ----------
coding                5.58           8.00        8.20        8.50
extraction            8.45           9.30        9.50        9.30
humanities            9.16           9.00        9.10        9.00
math                  4.03           5.70        7.40        7.40
reasoning             4.79           6.30        5.60        5.80
roleplay              7.53           8.80        8.90        8.80
stem                  7.60           8.30        7.90        8.20
writing               8.04           7.10        6.20        6.70
