question_id,model,turn,GPT-4-Turbo,GPT-4o,GPT-4.1,GPT-5.1
26,shisa-ai/shisa-v2-llama3.1-8b,1,9.0,10.0,9.0,8.0
46,shisa-ai/shisa-v2-unphi4-14b,2,2.0,3.0,10.0,9.0
46,shisa-ai/shisa-v2.1-lfm2-1.2b,2,2.0,2.0,2.0,2.0
10,shisa-ai/shisa-v2-qwen2.5-32b,2,10.0,9.0,8.0,7.0
66,meta-llama/Llama-3.1-405B-Instruct,2,10.0,9.0,8.0,6.0
37,tokyotech-llm/Llama-3.1-Swallow-8B-Instruct-v0.5,2,7.0,3.0,9.0,6.0
3,Qwen/Qwen3-8B,1,10.0,10.0,9.0,9.0
51,Qwen/Qwen3-30B-A3B-Instruct-2507,2,4.0,4.0,4.0,3.0
50,meta-llama/Llama-3.3-70B-Instruct,2,10.0,9.0,9.0,8.0
44,shisa-ai/shisa-v2-llama3.1-8b,2,10.0,10.0,10.0,10.0
39,shisa-ai/shisa-v2-mistral-nemo-12b,2,10.0,10.0,10.0,10.0
19,shisa-ai/shisa-v2-mistral-nemo-12b,1,10.0,10.0,9.0,9.0
40,shisa-ai/shisa-v2-qwen2.5-7b,2,10.0,5.0,9.0,10.0
64,shisa-ai/shisa-v2.1-lfm2-1.2b,2,4.0,3.0,3.0,3.0
43,shisa-ai/shisa-v2.1-qwen3-8b,1,3.0,4.0,3.0,3.0
67,shisa-ai/shisa-v2-llama3.1-8b,1,10.0,9.0,10.0,7.0
54,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,9.0,9.0,7.0
33,shisa-ai/shisa-v2.1-unphi4-14b,1,10.0,10.0,10.0,10.0
21,Qwen/Qwen3-8B,2,10.0,9.0,9.0,4.0
5,LiquidAI/LFM2-1.2B,2,2.0,2.0,2.0,2.0
74,shisa-ai/llama3.3-70b-merge-nuslerp-168-176-base,1,10.0,9.0,10.0,9.0
74,shisa-ai/166-qwen3-30b-a3b-v2.1-dpo-1.2e7,1,9.0,9.0,10.0,8.0
14,Qwen/Qwen3-30B-A3B-Instruct-2507,2,10.0,10.0,10.0,9.0
15,meta-llama/Llama-3.3-70B-Instruct,1,10.0,10.0,10.0,9.0
29,shisa-ai/shisa-v2-unphi4-14b,2,10.0,9.0,8.0,5.0
5,shisa-ai/shisa-v2-qwen2.5-7b,1,10.0,10.0,10.0,8.0
